id,source,timestamp,outputKWh,status
FG-WI-04181436,Wind,2026-04-18 14:36,948.504,Operational
FG-WI-04181439,Wind,2026-04-18 14:39,951.165,Operational
FG-WI-04181442,Wind,2026-04-18 14:42,960.662,Operational
FG-WI-04181445,Wind,2026-04-18 14:45,967.146,Operational
FG-WI-04181448,Wind,2026-04-18 14:48,954.487,Operational
FG-WI-04181451,Wind,2026-04-18 14:51,952.492,Operational
FG-WI-04181454,Wind,2026-04-18 14:54,955.333,Operational
FG-WI-04181457,Wind,2026-04-18 14:57,947.022,Operational
FG-WI-04181500,Wind,2026-04-18 15:00,953.467,Operational
FG-WI-04181503,Wind,2026-04-18 15:03,985.142,Operational
FG-WI-04181506,Wind,2026-04-18 15:06,990.507,Operational
FG-WI-04181509,Wind,2026-04-18 15:09,976.173,Operational
FG-WI-04181512,Wind,2026-04-18 15:12,964.849,Operational
FG-WI-04181515,Wind,2026-04-18 15:15,965.008,Operational
FG-WI-04181518,Wind,2026-04-18 15:18,993.45,Operational
FG-WI-04181521,Wind,2026-04-18 15:21,1021.67,Operational
FG-WI-04181524,Wind,2026-04-18 15:24,1028.82,Operational
FG-WI-04181527,Wind,2026-04-18 15:27,1039.48,Operational
FG-WI-04181530,Wind,2026-04-18 15:30,1026.31,Operational
FG-WI-04181533,Wind,2026-04-18 15:33,1029.49,Operational
FG-WI-04181536,Wind,2026-04-18 15:36,1030.16,Operational
FG-WI-04181539,Wind,2026-04-18 15:39,1049.15,Operational
FG-WI-04181542,Wind,2026-04-18 15:42,1057.33,Operational
FG-WI-04181545,Wind,2026-04-18 15:45,1064.81,Operational
FG-WI-04181548,Wind,2026-04-18 15:48,1076.22,Operational
FG-WI-04181551,Wind,2026-04-18 15:51,1068.35,Operational
FG-WI-04181554,Wind,2026-04-18 15:54,1056.51,Operational
FG-WI-04181557,Wind,2026-04-18 15:57,1047.49,Operational
FG-WI-04181600,Wind,2026-04-18 16:00,1049.5,Operational
FG-WI-04181603,Wind,2026-04-18 16:03,1065.47,Operational
FG-WI-04181606,Wind,2026-04-18 16:06,1069.0,Operational
FG-WI-04181609,Wind,2026-04-18 16:09,1089.29,Operational
FG-WI-04181612,Wind,2026-04-18 16:12,1103.33,Operational
FG-WI-04181615,Wind,2026-04-18 16:15,1120.99,Operational
FG-WI-04181618,Wind,2026-04-18 16:18,1111.04,Operational
